Request ID,Department,Request Type,Priority,Status,Ward,Date Opened,Date Closed,Channel,Citizen Satisfaction,Resolution Days,Target Days,Resolved Within Target,Opened Month,Opened Year,Opened Quarter,Is Closed
SR-2025-00001,Transportation Services,Streetlight Repair,Low,Closed,Ward 5,2025-04-25,2025-04-30,Web,5.0,5.0,14,Yes,2025-04,2025,2,Yes
SR-2025-00002,By-law Enforcement,Animal Complaint,Low,Closed,Ward 5,2025-04-30,2025-05-11,Phone,4.0,11.0,14,Yes,2025-04,2025,2,Yes
SR-2025-00003,Transportation Services,Traffic Concern,Low,Closed,Ward 4,2025-01-04,2025-01-19,Mobile App,5.0,15.0,14,No,2025-01,2025,1,Yes
SR-2025-00004,Waste Management,Recycling Issue,Low,Open,Ward 1,2025-02-22,,Email,,,14,Pending,2025-02,2025,1,No
SR-2025-00005,Public Works,Sidewalk Damage,High,Closed,Ward 1,2025-01-23,2025-01-29,Email,4.0,6.0,7,Yes,2025-01,2025,1,Yes
SR-2025-00006,Public Works,Sidewalk Damage,High,Closed,Ward 1,2025-07-05,2025-07-10,Web,3.0,5.0,7,Yes,2025-07,2025,3,Yes
SR-2025-00007,Transportation Services,Traffic Signal Issue,High,In Progress,Ward 1,2025-04-30,,Email,,,7,Pending,2025-04,2025,2,No
SR-2025-00008,Waste Management,Green Bin Issue,Medium,Closed,Ward 3,2025-07-09,2025-07-16,Web,3.0,7.0,10,Yes,2025-07,2025,3,Yes
SR-2025-00009,By-law Enforcement,Property Standards,Medium,Closed,Ward 5,2025-08-25,2025-09-02,Phone,3.0,8.0,10,Yes,2025-08,2025,3,Yes
SR-2025-00010,Transportation Services,Road Sign Damage,High,Open,Ward 1,2025-04-28,,Mobile App,,,7,Pending,2025-04,2025,2,No
SR-2025-00011,Water Services,Sewer Backup,Low,In Progress,Ward 3,2025-10-18,,Phone,,,14,Pending,2025-10,2025,4,No
SR-2025-00012,Transportation Services,Traffic Concern,Medium,In Progress,Ward 2,2025-08-23,,Mobile App,,,10,Pending,2025-08,2025,3,No
SR-2025-00013,Parks and Recreation,Park Equipment Damage,High,Closed,Ward 4,2025-10-27,2025-10-31,Mobile App,5.0,4.0,7,Yes,2025-10,2025,4,Yes
SR-2025-00014,Parks and Recreation,Park Equipment Damage,Medium,Closed,Ward 2,2025-01-25,2025-01-28,Email,3.0,3.0,10,Yes,2025-01,2025,1,Yes
SR-2025-00015,By-law Enforcement,Noise Complaint,Medium,Closed,Ward 5,2025-08-28,2025-09-07,Web,3.0,10.0,10,Yes,2025-08,2025,3,Yes
SR-2025-00016,Transportation Services,Streetlight Repair,Medium,Closed,Ward 4,2025-05-17,2025-05-24,Phone,3.0,7.0,10,Yes,2025-05,2025,2,Yes
SR-2025-00017,Water Services,Water Leak,Critical,In Progress,Ward 5,2025-05-15,,Phone,,,3,Pending,2025-05,2025,2,No
SR-2025-00018,By-law Enforcement,Noise Complaint,High,Closed,Ward 2,2025-11-24,2025-11-29,Mobile App,4.0,5.0,7,Yes,2025-11,2025,4,Yes
SR-2025-00019,Parks and Recreation,Tree Maintenance,Medium,Closed,Ward 3,2025-02-27,2025-03-06,Phone,5.0,7.0,10,Yes,2025-02,2025,1,Yes
SR-2025-00020,Public Works,Road Damage,High,In Progress,Ward 4,2025-02-13,,Web,,,7,Pending,2025-02,2025,1,No
SR-2025-00021,By-law Enforcement,Property Standards,Low,Closed,Ward 5,2025-10-09,2025-10-14,Email,3.0,5.0,14,Yes,2025-10,2025,4,Yes
SR-2025-00022,Parks and Recreation,Park Equipment Damage,High,Closed,Ward 5,2025-12-10,2025-12-16,Email,4.0,6.0,7,Yes,2025-12,2025,4,Yes
SR-2025-00023,Public Works,Road Damage,Low,Closed,Ward 2,2025-10-29,2025-11-09,Web,3.0,11.0,14,Yes,2025-10,2025,4,Yes
SR-2025-00024,Public Works,Pothole Repair,Low,In Progress,Ward 1,2025-06-19,,In Person,,,14,Pending,2025-06,2025,2,No
SR-2025-00025,Parks and Recreation,Grass Cutting,Medium,Closed,Ward 4,2025-03-09,2025-03-18,Email,3.0,9.0,10,Yes,2025-03,2025,1,Yes
SR-2025-00026,Parks and Recreation,Tree Maintenance,Low,Closed,Ward 1,2025-08-05,2025-08-14,Web,4.0,9.0,14,Yes,2025-08,2025,3,Yes
SR-2025-00027,Public Works,Snow Removal,High,Open,Ward 2,2025-02-25,,Phone,,,7,Pending,2025-02,2025,1,No
SR-2025-00028,Parks and Recreation,Trail Maintenance,Low,Closed,Ward 1,2025-08-25,2025-08-31,Email,5.0,6.0,14,Yes,2025-08,2025,3,Yes
SR-2025-00029,By-law Enforcement,Noise Complaint,Low,In Progress,Ward 1,2025-01-08,,Phone,,,14,Pending,2025-01,2025,1,No
SR-2025-00030,Parks and Recreation,Trail Maintenance,Medium,Closed,Ward 1,2025-07-25,2025-07-27,Email,3.0,2.0,10,Yes,2025-07,2025,3,Yes
SR-2025-00031,Waste Management,Green Bin Issue,Medium,Closed,Ward 3,2025-10-12,2025-10-21,Phone,3.0,9.0,10,Yes,2025-10,2025,4,Yes
SR-2025-00032,Public Works,Pothole Repair,High,Closed,Ward 5,2025-10-27,2025-10-31,Phone,4.0,4.0,7,Yes,2025-10,2025,4,Yes
SR-2025-00033,Public Works,Pothole Repair,High,Closed,Ward 4,2025-02-04,2025-02-10,Web,5.0,6.0,7,Yes,2025-02,2025,1,Yes
SR-2025-00034,By-law Enforcement,Property Standards,Medium,Closed,Ward 5,2025-02-11,2025-02-19,In Person,4.0,8.0,10,Yes,2025-02,2025,1,Yes
SR-2025-00035,Waste Management,Illegal Dumping,Low,Closed,Ward 3,2025-05-03,2025-05-10,Email,4.0,7.0,14,Yes,2025-05,2025,2,Yes
SR-2025-00036,Waste Management,Missed Garbage Pickup,Low,Closed,Ward 2,2025-10-16,2025-10-20,In Person,2.0,4.0,14,Yes,2025-10,2025,4,Yes
SR-2025-00037,Waste Management,Recycling Issue,High,In Progress,Ward 3,2025-05-06,,Mobile App,,,7,Pending,2025-05,2025,2,No
SR-2025-00038,Parks and Recreation,Trail Maintenance,High,Closed,Ward 1,2025-11-10,2025-11-17,In Person,4.0,7.0,7,Yes,2025-11,2025,4,Yes
SR-2025-00039,Waste Management,Missed Garbage Pickup,High,Closed,Ward 2,2025-03-01,2025-03-02,Mobile App,5.0,1.0,7,Yes,2025-03,2025,1,Yes
SR-2025-00040,Waste Management,Recycling Issue,High,Closed,Ward 4,2025-11-21,2025-11-28,Mobile App,3.0,7.0,7,Yes,2025-11,2025,4,Yes
SR-2025-00041,Public Works,Pothole Repair,Medium,Open,Ward 1,2025-01-23,,Mobile App,,,10,Pending,2025-01,2025,1,No
SR-2025-00042,Parks and Recreation,Grass Cutting,Low,Closed,Ward 1,2025-12-28,2026-01-06,Web,4.0,9.0,14,Yes,2025-12,2025,4,Yes
SR-2025-00043,Transportation Services,Traffic Signal Issue,Medium,Open,Ward 5,2025-10-26,,Phone,,,10,Pending,2025-10,2025,4,No
SR-2025-00044,Water Services,Low Water Pressure,Low,Closed,Ward 2,2025-01-21,2025-01-29,Web,3.0,8.0,14,Yes,2025-01,2025,1,Yes
SR-2025-00045,Waste Management,Green Bin Issue,Critical,Open,Ward 2,2025-05-02,,Phone,,,3,Pending,2025-05,2025,2,No
SR-2025-00046,Water Services,Water Leak,Low,In Progress,Ward 2,2025-07-30,,Mobile App,,,14,Pending,2025-07,2025,3,No
SR-2025-00047,Parks and Recreation,Tree Maintenance,Medium,Closed,Ward 4,2025-08-29,2025-09-03,Mobile App,3.0,5.0,10,Yes,2025-08,2025,3,Yes
SR-2025-00048,Waste Management,Recycling Issue,Low,Closed,Ward 1,2025-07-24,2025-08-01,Mobile App,3.0,8.0,14,Yes,2025-07,2025,3,Yes
SR-2025-00049,Waste Management,Green Bin Issue,Medium,Open,Ward 1,2025-06-19,,Web,,,10,Pending,2025-06,2025,2,No
SR-2025-00050,Waste Management,Recycling Issue,Medium,In Progress,Ward 1,2025-01-20,,In Person,,,10,Pending,2025-01,2025,1,No
SR-2025-00051,Water Services,Sewer Backup,High,Closed,Ward 5,2025-11-07,2025-11-12,Phone,3.0,5.0,7,Yes,2025-11,2025,4,Yes
SR-2025-00052,Waste Management,Missed Garbage Pickup,High,Closed,Ward 2,2025-10-03,2025-10-09,Mobile App,5.0,6.0,7,Yes,2025-10,2025,4,Yes
SR-2025-00053,Water Services,Water Leak,Critical,In Progress,Ward 3,2025-11-16,,Web,,,3,Pending,2025-11,2025,4,No
SR-2025-00054,Transportation Services,Road Sign Damage,Medium,Closed,Ward 5,2025-06-17,2025-06-25,Phone,5.0,8.0,10,Yes,2025-06,2025,2,Yes
SR-2025-00055,Parks and Recreation,Trail Maintenance,Medium,Closed,Ward 1,2025-03-31,2025-04-06,Mobile App,4.0,6.0,10,Yes,2025-03,2025,1,Yes
SR-2025-00056,Waste Management,Recycling Issue,Medium,Closed,Ward 4,2025-12-02,2025-12-09,Phone,4.0,7.0,10,Yes,2025-12,2025,4,Yes
SR-2025-00057,By-law Enforcement,Animal Complaint,High,In Progress,Ward 1,2025-03-28,,Mobile App,,,7,Pending,2025-03,2025,1,No
SR-2025-00058,By-law Enforcement,Parking Complaint,Low,In Progress,Ward 3,2025-05-01,,Phone,,,14,Pending,2025-05,2025,2,No
SR-2025-00059,Parks and Recreation,Park Equipment Damage,Low,Closed,Ward 1,2025-09-01,2025-09-13,Email,5.0,12.0,14,Yes,2025-09,2025,3,Yes
SR-2025-00060,Water Services,Low Water Pressure,High,Closed,Ward 1,2025-07-24,2025-07-26,Web,3.0,2.0,7,Yes,2025-07,2025,3,Yes
SR-2025-00061,Water Services,Low Water Pressure,Low,In Progress,Ward 4,2025-09-23,,Web,,,14,Pending,2025-09,2025,3,No
SR-2025-00062,By-law Enforcement,Property Standards,High,Closed,Ward 5,2025-03-10,2025-03-17,In Person,4.0,7.0,7,Yes,2025-03,2025,1,Yes
SR-2025-00063,By-law Enforcement,Parking Complaint,Critical,In Progress,Ward 5,2025-11-10,,Email,,,3,Pending,2025-11,2025,4,No
SR-2025-00064,By-law Enforcement,Animal Complaint,High,Open,Ward 4,2025-09-01,,Mobile App,,,7,Pending,2025-09,2025,3,No
SR-2025-00065,Parks and Recreation,Grass Cutting,High,Closed,Ward 1,2025-11-17,2025-11-19,Mobile App,3.0,2.0,7,Yes,2025-11,2025,4,Yes
SR-2025-00066,Parks and Recreation,Grass Cutting,Medium,In Progress,Ward 2,2025-02-11,,Phone,,,10,Pending,2025-02,2025,1,No
SR-2025-00067,Parks and Recreation,Trail Maintenance,Medium,Closed,Ward 5,2025-02-02,2025-02-10,Email,4.0,8.0,10,Yes,2025-02,2025,1,Yes
SR-2025-00068,Water Services,Water Leak,Low,Closed,Ward 5,2025-10-27,2025-11-10,Email,1.0,14.0,14,Yes,2025-10,2025,4,Yes
SR-2025-00069,Water Services,Water Leak,Critical,Closed,Ward 5,2025-07-19,2025-07-22,In Person,4.0,3.0,3,Yes,2025-07,2025,3,Yes
SR-2025-00070,Parks and Recreation,Trail Maintenance,Low,Closed,Ward 4,2025-01-15,2025-01-24,Phone,4.0,9.0,14,Yes,2025-01,2025,1,Yes
SR-2025-00071,Water Services,Low Water Pressure,Critical,Closed,Ward 4,2025-07-21,2025-07-21,Phone,2.0,0.0,3,Yes,2025-07,2025,3,Yes
SR-2025-00072,Water Services,Low Water Pressure,Low,Closed,Ward 4,2025-04-19,2025-04-29,Mobile App,4.0,10.0,14,Yes,2025-04,2025,2,Yes
